idioms,first
安乐窝,安
傲霜枝,傲
哀鸿遍地,哀
哀声叹气,哀
挨冻受饿,挨
挨肩擦背,挨
矮人观场,矮
矮人看戏,矮
爱才如命,爱
爱才若渴,爱
爱富嫌贫,爱
安份守己,安
安家乐业,安
安居乐业,安
安神定魄,安
暗度陈仓,暗
黯淡无光,黯
黯然神伤,黯
黯然失色,黯
黯然无色,黯
昂头天外,昂
聱牙戟口,聱
聱牙诘屈,聱
傲慢无礼,傲
傲睨一切,傲
傲世轻物,傲
哀哀欲绝,哀
哀兵必胜,哀
哀思如潮,哀
哀痛欲绝,哀
唉声叹气,唉
挨家挨户,挨
挨肩搭背,挨
挨门逐户,挨
矮人看场,矮
爱财如命,爱
爱不忍释,爱
爱不释手,爱
爱国如家,爱
爱民如子,爱
爱莫能助,爱
爱钱如命,爱
爱屋及乌,爱
爱憎分明,爱
碍手碍脚,碍
暧昧不明,暧
暧昧之情,暧
安安稳稳,安
安邦定国,安
安邦治国,安
安不忘危,安
安步当车,安
安常处顺,安
安家立业,安
安分守己,安
安富恤贫,安
安家落户,安
安良除暴,安
安民告示,安
安内攘外,安
安贫乐道,安
安然无事,安
安如磐石,安
安身之处,安
安然无恙,安
安如泰山,安
安身之地,安
安营扎寨,安
安于现状,安
鞍马劳顿,鞍
鞍前马后,鞍
按兵不动,按
按部就班,按
按捺不住,按
按图索骥,按
暗淡无光,暗
暗渡陈仓,暗
暗箭难防,暗
暗箭伤人,暗
暗室逢灯,暗
暗送秋波,暗
暗无天日,暗
暗中摸索,暗
昂首阔步,昂
昂首挺胸,昂
昂首望天,昂
嗷嗷待哺,嗷
熬更守夜,熬
熬心费力,熬
傲骨嶙嶙,傲
傲慢不逊,傲
傲睨万物,傲
傲睨自若,傲
傲然屹立,傲
傲霜斗雪,傲
傲头傲脑,傲
傲贤慢士,傲
傲雪凌霜,傲
傲雪欺霜,傲
奥妙无穷,奥
懊悔无及,懊
阿猫阿狗,阿
按步就班,按
安土乐业,安
昂头阔步,昂
昂头挺胸,昂
鳌里夺尊,鳌
鳌头独占,鳌
鳌掷鲸吞,鳌
挨门挨户,挨
暗箭明枪,暗
阿斗太子,阿
挨家按户,挨
挨打受骂,挨
挨打受气,挨
挨饿受冻,挨
矮矮胖胖,矮
矮矮实实,矮
矮小精悍,矮
爱答不理,爱
爱理不理,爱
碍难遵命,碍
碍上碍下,碍
安安分分,安
安安合适,安
安安静静,安
安安心心,安
安定团结,安
按劳分配,按
按劳取酬,按
按捺不下,按
暗藏杀机,暗
暗礁险滩,暗
暗约私期,暗
暗约偷期,暗
暗中盘算,暗
暗中倾轧,暗
暗中作梗,暗
暗中作乐,暗
黯然魂销,黯
黯然无光,黯
黯然无神,黯
肮肮脏脏,肮
昂然而入,昂
凹凸不平,凹
嗷嗷待食,嗷
懊悔莫及,懊
阿家阿翁,阿
挨肩叠背,挨
捱风缉缝,捱
矮子观场,矮
爱生恶死,爱
碍难从命,碍
安常习故,安
安故重迁,安
安贫守道,安
安身乐业,安
安生服业,安
安适如常,安
安心乐意,安
安营下寨,安
鞍马劳倦,鞍
案牍之劳,案
暗箭中人,暗
暗室屋漏,暗
哀而不伤,哀
哀感天地,哀
哀鸿遍野,哀
哀感顽艳,哀
哀毁骨立,哀
哀天叫地,哀
挨肩并足,挨
矮子看戏,矮
蔼然可亲,蔼
蔼然仁者,蔼
爱才如渴,爱
爱人好士,爱
爱人以德,爱
爱如己出,爱
爱如珍宝,爱
爱惜羽毛,爱
安常守分,安
安常守故,安
安分知足,安
安国宁家,安
安魂定魄,安
安老怀少,安
安贫乐贱,安
安然如故,安
安身立命,安
安时处顺,安
安土重迁,安
安危相易,安
安危与共,安
安闲自得,安
安闲自在,安
安于一隅,安
安宅正路,安
安枕而卧,安
安之若命,安
安之若素,安
安坐待毙,安
鞍马劳困,鞍
鞍马之劳,鞍
按甲寝兵,按
按行自抑,按
暗室不欺,暗
暗室欺心,暗
暗室求物,暗
昂然自得,昂
傲不可长,傲
阿鼻地狱,阿
阿狗阿猫,阿
阿姑阿翁,阿
阿娇金屋,阿
阿毗地狱,阿
阿平绝倒,阿
碍足碍手,碍
按兵束甲,按
暗锤打人,暗
暗斗明争,暗
暗度金针,暗
安分守已,安
安国富民,安
鞍马劳神,鞍
岸然道貌,岸
安如盘石,安
安心乐业,安
安心落意,安
鳌愤龙愁,鳌
鳌鸣鳖应,鳌
熬清守谈,熬
敖世轻物,敖
遨翔自得,遨
謷牙诘屈,謷
安若泰山,安
按兵不举,按
暗室私心,暗
傲然挺立,傲
哀鸿满路,哀
哀矜勿喜,哀
哀乐相生,哀
哀死事生,哀
哀喜交并,哀
爱才好士,爱
爱才怜弱,爱
爱财舍命,爱
爱国一家,爱
爱老慈幼,爱
爱势贪财,爱
爱贤念旧,爱
爱者如宝,爱
安安逸逸,安
安分守常,安
安于磐石,安
按纳不住,按
按强助弱,按
暗察明访,暗
暗里使劲,暗
哀毁瘠立,哀
捱三顶四,捱
捱三顶五,捱
爱莫之助,爱
安常履顺,安
安富恤穷,安
岸谷之变,岸
案兵束甲,案
案剑瞋目,案
案无留牍,案
暗昧之事,暗
昂昂自若,昂
昂然直入,昂
昂然自若,昂
昂霄耸壑,昂
敖不可长,敖
熬清受淡,熬
聱牙诘曲,聱
奥援有灵,奥
哀哀父母,哀
哀感中年,哀
哀告宾服,哀
哀梨蒸食,哀
哀丝豪竹,哀
挨风缉缝,挨
挨肩擦膀,挨
挨肩擦脸,挨
挨三顶五,挨
挨山塞海,挨
爱别离苦,爱
爱毛反裘,爱
爱鹤失众,爱
爱礼存羊,爱
爱人利物,爱
爱日惜力,爱
爱素好古,爱
碍口识羞,碍
安车蒲轮,安
安堵乐业,安
安堵如故,安
安富尊荣,安
安眉带眼,安
安忍无亲,安
安身为乐,安
安室利处,安
安心定志,安
按甲休兵,按
按名责实,按
按辔徐行,按
案牍劳形,案
暗气暗恼,暗
暗弱无断,暗
暗室亏心,暗
暗香疏影,暗
黯然伤神,黯
黯然销魂,黯
昂藏七尺,昂
昂首伸眉,昂
昂首天外,昂
盎盂相击,盎
盎盂相敲,盎
熬肠刮肚,熬
熬姜呷醋,熬
熬清守淡,熬
傲慢少礼,傲
傲睨得志,傲
傲睨一世,傲
挨肩迭背,挨
騃女痴儿,騃
騃女痴男,騃
嗳声叹气,嗳
騃童钝夫,騃
黯晦消沉,黯
案甲休兵,案
暗绿稀红,暗
安如太山,安
安生乐业,安
按图索骏,按
安土重旧,安
安土重居,安
卬首信眉,卬
卬头阔步,卬
熬枯受淡,熬
聱牙佶屈,聱
熬油费火,熬
鳌掷鲸呿,鳌
安于盘石,安
按堵如故,按
哀矜惩创,哀
艾发衰容,艾
爱非其道,爱
爱口识羞,爱
僾见忾闻,僾
安其所习,安
安详恭敬,安
安于所习,安
案堵如故,案
昂昂不动,昂
聱牙诎曲,聱
爱之欲其生,爱
矮子里拔将军,矮
哀莫大于心死,哀
爱博而情不专,爱
鞍不离马，甲不离身,鞍
安危相易，祸福相生,安
安于故俗，溺于旧闻,安
爱则加诸膝，恶则坠诸,爱
爱之欲其生，恶之欲其,爱
爱则加诸膝，恶则坠诸渊,爱
鞍不离马背，甲不离将身,鞍
爱之欲其生，恶之欲其死,爱
鞍不离马背，甲不离将身,鞍
安乐窝,安
傲霜枝,傲
哀鸿遍地,哀
哀声叹气,哀
挨冻受饿,挨
挨肩擦背,挨
矮人观场,矮
矮人看戏,矮
爱才如命,爱
爱才若渴,爱
爱富嫌贫,爱
安份守己,安
安家乐业,安
安居乐业,安
安神定魄,安
暗度陈仓,暗
黯淡无光,黯
黯然神伤,黯
黯然失色,黯
黯然无色,黯
昂头天外,昂
聱牙戟口,聱
聱牙诘屈,聱
傲慢无礼,傲
傲睨一切,傲
傲世轻物,傲
哀哀欲绝,哀
哀兵必胜,哀
哀思如潮,哀
哀痛欲绝,哀
唉声叹气,唉
挨家挨户,挨
挨肩搭背,挨
挨门逐户,挨
矮人看场,矮
爱财如命,爱
爱不忍释,爱
爱不释手,爱
爱国如家,爱
爱民如子,爱
爱莫能助,爱
爱钱如命,爱
爱屋及乌,爱
爱憎分明,爱
碍手碍脚,碍
暧昧不明,暧
暧昧之情,暧
安安稳稳,安
安邦定国,安
安邦治国,安
安不忘危,安
安步当车,安
安常处顺,安
安家立业,安
安分守己,安
安富恤贫,安
安家落户,安
安良除暴,安
安民告示,安
安内攘外,安
安贫乐道,安
安然无事,安
安如磐石,安
安身之处,安
安然无恙,安
安如泰山,安
安身之地,安
安营扎寨,安
安于现状,安
鞍马劳顿,鞍
鞍前马后,鞍
按兵不动,按
按部就班,按
按捺不住,按
按图索骥,按
暗淡无光,暗
暗渡陈仓,暗
暗箭难防,暗
暗箭伤人,暗
暗室逢灯,暗
暗送秋波,暗
暗无天日,暗
暗中摸索,暗
昂首阔步,昂
昂首挺胸,昂
昂首望天,昂
嗷嗷待哺,嗷
熬更守夜,熬
熬心费力,熬
傲骨嶙嶙,傲
傲慢不逊,傲
傲睨万物,傲
傲睨自若,傲
傲然屹立,傲
傲霜斗雪,傲
傲头傲脑,傲
傲贤慢士,傲
傲雪凌霜,傲
傲雪欺霜,傲
奥妙无穷,奥
懊悔无及,懊
阿猫阿狗,阿
按步就班,按
安土乐业,安
昂头阔步,昂
昂头挺胸,昂
鳌里夺尊,鳌
鳌头独占,鳌
鳌掷鲸吞,鳌
挨门挨户,挨
暗箭明枪,暗
阿斗太子,阿
挨家按户,挨
挨打受骂,挨
挨打受气,挨
挨饿受冻,挨
矮矮胖胖,矮
矮矮实实,矮
矮小精悍,矮
爱答不理,爱
爱理不理,爱
碍难遵命,碍
碍上碍下,碍
安安分分,安
安安合适,安
安安静静,安
安安心心,安
安定团结,安
按劳分配,按
按劳取酬,按
按捺不下,按
暗藏杀机,暗
暗礁险滩,暗
暗约私期,暗
暗约偷期,暗
暗中盘算,暗
暗中倾轧,暗
暗中作梗,暗
暗中作乐,暗
黯然魂销,黯
黯然无光,黯
黯然无神,黯
肮肮脏脏,肮
昂然而入,昂
凹凸不平,凹
嗷嗷待食,嗷
懊悔莫及,懊
阿家阿翁,阿
挨肩叠背,挨
捱风缉缝,捱
矮子观场,矮
爱生恶死,爱
碍难从命,碍
安常习故,安
安故重迁,安
安贫守道,安
安身乐业,安
安生服业,安
安适如常,安
安心乐意,安
安营下寨,安
鞍马劳倦,鞍
案牍之劳,案
暗箭中人,暗
暗室屋漏,暗
哀而不伤,哀
哀感天地,哀
哀鸿遍野,哀
哀感顽艳,哀
哀毁骨立,哀
哀天叫地,哀
挨肩并足,挨
矮子看戏,矮
蔼然可亲,蔼
蔼然仁者,蔼
爱才如渴,爱
爱人好士,爱
爱人以德,爱
爱如己出,爱
爱如珍宝,爱
爱惜羽毛,爱
安常守分,安
安常守故,安
安分知足,安
安国宁家,安
安魂定魄,安
安老怀少,安
安贫乐贱,安
安然如故,安
安身立命,安
安时处顺,安
安土重迁,安
安危相易,安
安危与共,安
安闲自得,安
安闲自在,安
安于一隅,安
安宅正路,安
安枕而卧,安
安之若命,安
安之若素,安
安坐待毙,安
鞍马劳困,鞍
鞍马之劳,鞍
按甲寝兵,按
按行自抑,按
暗室不欺,暗
暗室欺心,暗
暗室求物,暗
昂然自得,昂
傲不可长,傲
阿鼻地狱,阿
阿狗阿猫,阿
阿姑阿翁,阿
阿娇金屋,阿
阿毗地狱,阿
阿平绝倒,阿
碍足碍手,碍
按兵束甲,按
暗锤打人,暗
暗斗明争,暗
暗度金针,暗
安分守已,安
安国富民,安
鞍马劳神,鞍
岸然道貌,岸
安如盘石,安
安心乐业,安
安心落意,安
鳌愤龙愁,鳌
鳌鸣鳖应,鳌
熬清守谈,熬
敖世轻物,敖
遨翔自得,遨
謷牙诘屈,謷
安若泰山,安
按兵不举,按
暗室私心,暗
傲然挺立,傲
哀鸿满路,哀
哀矜勿喜,哀
哀乐相生,哀
哀死事生,哀
哀喜交并,哀
爱才好士,爱
爱才怜弱,爱
爱财舍命,爱
爱国一家,爱
爱老慈幼,爱
爱势贪财,爱
爱贤念旧,爱
爱者如宝,爱
安安逸逸,安
安分守常,安
安于磐石,安
按纳不住,按
按强助弱,按
暗察明访,暗
暗里使劲,暗
哀毁瘠立,哀
捱三顶四,捱
捱三顶五,捱
爱莫之助,爱
安常履顺,安
安富恤穷,安
岸谷之变,岸
案兵束甲,案
案剑瞋目,案
案无留牍,案
暗昧之事,暗
昂昂自若,昂
昂然直入,昂
昂然自若,昂
昂霄耸壑,昂
敖不可长,敖
熬清受淡,熬
聱牙诘曲,聱
奥援有灵,奥
哀哀父母,哀
哀感中年,哀
哀告宾服,哀
哀梨蒸食,哀
哀丝豪竹,哀
挨风缉缝,挨
挨肩擦膀,挨
挨肩擦脸,挨
挨三顶五,挨
挨山塞海,挨
爱别离苦,爱
爱毛反裘,爱
爱鹤失众,爱
爱礼存羊,爱
爱人利物,爱
爱日惜力,爱
爱素好古,爱
碍口识羞,碍
安车蒲轮,安
安堵乐业,安
安堵如故,安
安富尊荣,安
安眉带眼,安
安忍无亲,安
安身为乐,安
安室利处,安
安心定志,安
按甲休兵,按
按名责实,按
按辔徐行,按
案牍劳形,案
暗气暗恼,暗
暗弱无断,暗
暗室亏心,暗
暗香疏影,暗
黯然伤神,黯
黯然销魂,黯
昂藏七尺,昂
昂首伸眉,昂
昂首天外,昂
盎盂相击,盎
盎盂相敲,盎
熬肠刮肚,熬
熬姜呷醋,熬
熬清守淡,熬
傲慢少礼,傲
傲睨得志,傲
傲睨一世,傲
挨肩迭背,挨
騃女痴儿,騃
騃女痴男,騃
嗳声叹气,嗳
騃童钝夫,騃
黯晦消沉,黯
案甲休兵,案
暗绿稀红,暗
安如太山,安
安生乐业,安
按图索骏,按
安土重旧,安
安土重居,安
卬首信眉,卬
卬头阔步,卬
熬枯受淡,熬
聱牙佶屈,聱
熬油费火,熬
鳌掷鲸呿,鳌
安于盘石,安
按堵如故,按
哀矜惩创,哀
艾发衰容,艾
爱非其道,爱
爱口识羞,爱
僾见忾闻,僾
安其所习,安
安详恭敬,安
安于所习,安
案堵如故,案
昂昂不动,昂
聱牙诎曲,聱
爱之欲其生,爱
矮子里拔将军,矮
哀莫大于心死,哀
爱博而情不专,爱
鞍不离马，甲不离身,鞍
安危相易，祸福相生,安
安于故俗，溺于旧闻,安
爱则加诸膝，恶则坠诸,爱
爱之欲其生，恶之欲其,爱
爱则加诸膝，恶则坠诸渊,爱
鞍不离马背，甲不离将身,鞍
爱之欲其生，恶之欲其死,爱
鞍不离马背，甲不离将身,鞍
不世,不
抱不平,抱
杯中物,杯
闭门羹,闭
不成器,不
白费蜡,白
败家子,败
不倒翁,不
比翼鸟,比
白日梦,白
并蒂莲,并
百里才,百
表面光,表
抱佛脚,抱
饱眼福,饱
绊脚石,绊
背黑锅,背
保护伞,保
帮倒忙,帮
拜把子,拜
摆架子,摆
暴发户,暴
避风港,避
壁上观,壁
必以情,必
不得命,不
不旋踵,不
不二门,不
半吊子,半
并头莲,并
步后尘,步
百世师,百
八方风雨,八
八方支援,八
八面驶风,八
八仙过海,八
扒高踩低,扒
跋山涉水,跋
霸道横行,霸
白发苍苍,白
白发红颜,白
白骨露野,白
白黑不分,白
白黑颠倒,白
白色恐怖,白
白首穷经,白
白头到老,白
白雪阳春,白
白玉微瑕,白
白玉无瑕,白
百不失一,百
百尺竿头,百
百二河山,百
百二山河,百
百废待兴,百
百依百顺,百
百依百随,百
百丈竿头,百
摆尾摇头,摆
败法乱纪,败
败国丧家,败
败兴而归,败
拜鬼求神,拜
班班可考,班
半筹莫展,半
饱经霜雪,饱
饱经忧患,饱
报仇雪耻,报
抱成一团,抱
抱负不凡,抱
抱屈衔冤,抱
抱头痛哭,抱
暴风疾雨,暴
本乡本土,本
笨嘴笨舌,笨
逼不得已,逼
逼良为娼,逼
逼人太甚,逼
逼上梁山,逼
鼻青脸肿,鼻
比量齐观,比
比权量力,比
比比皆是,比
比手划脚,比
彼此彼此,彼
笔伐口诛,笔
笔扫千军,笔
鄙夷不屑,鄙
必操胜券,必
毕恭毕敬,毕
闭门不出,闭
闭门读书,闭
便宜从事,便
便宜行事,便
变化不测,变
变本加厉,变
变幻莫测,变
变幻无常,变
标新创异,标
别有心肝,别
宾朋满座,宾
冰肌玉骨,冰
冰炭不投,冰
兵精粮足,兵
兵无常势,兵
秉笔直书,秉
秉公灭私,秉
百花争妍,百
百花争艳,百
百年之后,百
百世之师,百
百思莫解,百
百岁之好,百
百无一成,百
百无一是,百
百依百从,百
半斤八两,半
半路出家,半
半面不忘,半
半面之旧,半
半生不熟,半
半新不旧,半
半信半疑,半
半真半假,半
包办代替,包
包揽词讼,包
宝刀未老,宝
卑鄙无耻,卑
卑不足道,卑
卑躬屈节,卑
杯酒解怨,杯
杯水之谢,杯
悲从中来,悲
悲歌慷慨,悲
悲观厌世,悲
悲痛欲绝,悲
背暗投明,背
倍道兼进,倍
倍道兼行,倍
避君三舍,避
避难就易,避
避强击弱,避
避实击虚,避
避实就虚,避
避俗趋新,避
避凶趋吉,避
璧合珠连,璧
鞭不及腹,鞭
鞭长不及,鞭
标新立异,标
表里不一,表
表里相符,表
表里一致,表
别出新意,别
别具慧眼,别
别来无恙,别
别树一帜,别
别无二致,别
别有心肠,别
秉公无私,秉
拨嘴撩牙,拨
剥茧抽丝,剥
剥皮抽筋,剥
伯仲叔季,伯
伯仲之间,伯
博采众议,博
博览古今,博
不差上下,不
不打自招,不
不得人心,不
不懂装懂,不
不干不净,不
不尴不尬,不
不敢高攀,不
不敢后人,不
不敢造次,不
不攻自破,不
不顾死活,不
不顾一切,不
不慌不忙,不
不羁之民,不
不计其数,不
不记前仇,不
不加思索,不
不稼不穑,不
博览五车,博
搏手无策,搏
薄暮冥冥,薄
补过饰非,补
捕风捉影,捕
不拔一毛,不
不败之地,不
不测之祸,不
不解之缘,不
不经世故,不
不胫而走,不
不拘一格,不
不绝如线,不
不可枚举,不
不可磨灭,不
不可奈何,不
不能自拔,不
不期而会,不
不期而同,不
不仁不义,不
不容分说,不
不辱使命,不
不三不四,不
不僧不俗,不
不伤脾胃,不
不生不灭,不
不声不吭,不
不为已甚,不
不闻不问,不
不问不闻,不
不肖子孙,不
不言不语,不
不厌其烦,不
不厌其详,不
不药而愈,不
不易之论,不
不足为法,不
不足为虑,不
不足为意,不
布衣蔬食,布
步步登高,步
步步高升,步
步调一致,步
步履维艰,步
不可胜举,不
不可收拾,不
不可思议,不
不可言状,不
不可逾越,不
不吝赐教,不
不露锋芒,不
不露神色,不
不伦不类,不
不落俗套,不
不声不响,不
不胜杯杓,不
不胜其苦,不
不时之需,不
不识大体,不
不识高低,不
不识好歹,不
不识起倒,不
不识时务,不
不识之无,不
不食周粟,不
不死不活,不
不知轻重,不
不知去向,不
不知所可,不
不知所云,不
不知痛痒,不
不值一哂,不
不治之症,不
不着边际,不
不足挂齿,不
八百孤寒,八
八拜之交,八
八斗之才,八
八方呼应,八
八面见光,八
八面玲珑,八
八面威风,八
八面圆通,八
八面张罗,八
八字打开,八
巴前算后,巴
拔本塞源,拔
拔萃出群,拔
拔刀相助,拔
拔苗助长,拔
拔山盖世,拔
拔山扛鼎,拔
拔树寻根,拔
拔新领异,拔
把饭叫饥,把
拔帜易帜,拔
跋扈自恣,跋
把持不定,把
把玩无厌,把
霸王别姬,霸
霸王风月,霸
白璧微瑕,白
白发苍颜,白
白发千丈,白
白发青衫,白
白圭之玷,白
白黑分明,白
白驹过隙,白
白面书生,白
白日见鬼,白
白日做梦,白
白山黑水,白
白手起家,白
白首之心,白
白头如新,白
白头相守,白
白头偕老,白
白云苍狗,白
白纸黑字,白
百般刁难,百
百般奉承,百
百弊丛生,百
百步穿杨,百
百川归海,百
百代文宗,百
百读不厌,百
百端待举,百
百发百中,百
百废待举,百
百废俱兴,百
百感交集,百
百花齐放,百
百卉千葩,百
百家争鸣,百
百举百全,百
百孔千疮,百
百口莫辩,百
百里挑一,百
百炼成钢,百
百伶百俐,百
百年不遇,百
百年大计,百
百年难遇,百
百年树人,百
百年偕老,百
百年之好,百
百念皆灰,百
百身莫赎,百
百思不解,百
百岁千秋,百
百万雄师,百
百无禁忌,百
百无聊赖,百
百无一能,百
百无一失,百
百无一用,百
百战百胜,百
百战不殆,百
百折不回,百
百折不挠,百
败军之将,败
败柳残花,败
拜倒辕门,拜
班门弄斧,班
班师回朝,班
斑驳陆离,斑
搬唇递舌,搬
搬弄是非,搬
板上钉钉,板
半壁江山,半
半部论语,半
半截入土,半
半面之交,半
半青半黄,半
半身不遂,半
半死不活,半
半途而废,半
半推半就,半
半吞半吐,半
半夜三更,半
帮虎吃食,帮
榜上无名,榜
蚌病成珠,蚌
傍人篱壁,傍
傍人门户,傍
棒打鸳鸯,棒
包藏祸心,包
包罗万象,包
褒善贬恶,褒
宝刀不老,宝
宝马香车,宝
宝山空回,宝
饱经沧桑,饱
饱经风霜,饱
饱食暖衣,饱
饱食终日,饱
饱学之士,饱
保国安民,保
报仇雪恨,报
抱残守缺,抱
抱诚守真,抱
抱头大哭,抱
抱恨终天,抱
抱头鼠窜,抱
抱薪救火,抱
抱子弄孙,抱
豹死留皮,豹
暴风骤雨,暴
暴戾恣睢,暴
暴露无遗,暴
暴虐无道,暴
暴取豪夺,暴
暴殄天物,暴
暴跳如雷,暴
卑鄙龌龊,卑
杯弓蛇影,杯
卑躬屈膝,卑
杯盘狼藉,杯
杯水车薪,杯
悲不自胜,悲
悲愤填膺,悲
悲欢离合,悲
悲天悯人,悲
悲喜交集,悲
北面称臣,北
贝阙珠宫,贝
备尝艰苦,备
备尝辛苦,备
备而不用,备
备位充数,备
背本趋末,背
背城一战,背
背道而驰,背
背井离乡,背
背水一战,背
背信弃义,背
奔走呼号,奔
奔走相告,奔
奔走钻营,奔
本来面目,本
本末倒置,本
本同末异,本
本小利微,本
本性难移,本
笨鸟先飞,笨
笨嘴拙舌,笨
鼻息如雷,鼻
比肩继踵,比
比翼连枝,比
比翼齐飞,比
比翼双飞,比
彼竭我盈,彼
彼众我寡,彼
笔耕砚田,笔
笔墨官司,笔
笔下超生,笔
笔下生花,笔
必恭必敬,必
必由之路,必
必争之地,必
闭关锁国,闭
闭关自守,闭
闭口不言,闭
闭门却扫,闭
闭门思过,闭
闭门造车,闭
闭目塞听,闭
闭月羞花,闭
敝帚千金,敝
敝帚自珍,敝
弊绝风清,弊
碧海青天,碧
碧血丹心,碧
蔽聪塞明,蔽
壁垒森严,壁
避而不谈,避
避祸就福,避
避坑落井,避
避重就轻,避
鞭长莫及,鞭
变化多端,变
变化莫测,变
变化无常,变
变化无穷,变
变生不测,变
遍地开花,遍
遍体鳞伤,遍
彪形大汉,彪
标同伐异,标
表里如一,表
表里为奸,表
表面文章,表
别出心裁,别
别具匠心,别
别具一格,别
别开生面,别
别有洞天,别
别有风味,别
别有天地,别
别有用心,别
宾客如云,宾
宾至如归,宾
彬彬有礼,彬
冰寒于水,冰
冰清玉洁,冰
冰清玉润,冰
冰天雪地,冰
冰消瓦解,冰
兵不血刃,兵
兵不厌诈,兵
兵多将广,兵
兵贵神速,兵
兵临城下,兵
兵戎相见,兵
兵微将寡,兵
兵荒马乱,兵
兵连祸结,兵
兵强马壮,兵
秉公办理,秉
秉烛待旦,秉
秉烛夜游,秉
并蒂芙蓉,并
并驾齐驱,并
病病歪歪,病
病从口入,病
病魔缠身,病
拨乱反正,拨
病入膏肓,病
拨云见日,拨
波澜壮阔,波
波涛汹涌,波
伯乐相马,伯
勃然变色,勃
勃然大怒,勃
博采众长,博
博大精深,博
博而不精,博
博古通今,博
博览群书,博
博施济众,博
博闻强记,博
博闻强识,博
博学多才,博
博学多闻,博
薄技在身,薄
擘肌分理,擘
补阙拾遗,补
不白之冤,不
不卑不亢,不
不辨菽麦,不
不成体统,不
不逞之徒,不
不耻下问,不
不出所料,不
不揣冒昧,不
不辞而别,不
不辞劳苦,不
不次之迁,不
不得而知,不
不得善终,不
不得要领,不
不动声色,不
不乏其人,不
不乏先例,不
不分彼此,不
不分皂白,不
不服水土,不
不负众望,不
不甘雌伏,不
不甘后人,不
不甘寂寞,不
不甘示弱,不
不敢苟同,不
不敢问津,不
不共戴天,不
不苟言笑,不
不关紧要,不
不关痛痒,不
不过尔尔,不
不寒而栗,不
不合时宜,不
不哼不哈,不
不欢而散,不
不惑之年,不
不急之务,不
不疾不徐,不
不假思索,不
不见天日,不
不骄不躁,不
不矜不伐,不
不近人情,不
不进则退,不
不咎既往,不
不拘小节,不
不绝如缕,不
不刊之论,不
不堪回首,不
不堪其忧,不
不堪入耳,不
不堪入目,不
不堪设想,不
不堪言状,不
不堪一击,不
不堪造就,不
不亢不卑,不
不可多得,不
不可告人,不
不可救药,不
不可开交,不
不可理喻,不
不可名状,不
不可偏废,不
不可企及,不
不可胜数,不
不可限量,不
不可言喻,不
不可一世,不
不可终日,不
不可捉摸,不
不稂不莠,不
不劳而获,不
不了了之,不
不吝指教,不
不吝珠玉,不
不留余地,不
不露声色,不
不落窠臼,不
不毛之地,不
不名一钱,不
不明不白,不
不谋而合,不
不能自已,不
不念旧恶,不
不偏不倚,不
不平则鸣,不
不破不立,不
不期而然,不
不期而遇,不
不欺暗室,不
不情之请,不
不求甚解,不
不屈不挠,不
不忍卒读,不
不容置辩,不
不容置喙,不
不容置疑,不
不如归去,不
不衫不履,不
不上不下,不
不甚了了,不
不胜枚举,不
不胜其烦,不
不胜其任,不
不省人事,不
不失时机,不
不识抬举,不
不识泰山,不
不识一丁,不
不速之客,不
不通水火,不
不同凡响,不
不痛不痒,不
不吐不茹,不
不违农时,不
不文不武,不
不务空名,不
不务正业,不
不惜工本,不
不相上下,不
不相为谋,不
不相闻问,不
不祥之兆,不
不屑一顾,不
不修边幅,不
不学无术,不
不徇私情,不
不言而喻,不
不一而足,不
不依不饶,不
不遗余力,不
不以为耻,不
不以为奇,不
不以为然,不
不以为意,不
不义之财,不
不亦乐乎,不
不易一字,不
不翼而飞,不
不阴不阳,不
不饮盗泉,不
不由分说,不
不由自主,不
不远千里,不
不远万里,不
不约而同,不
不在话下,不
不择手段,不
不折不扣,不
不正之风,不
不知不觉,不
不知端倪,不
不知甘苦,不
不知高低,不
不知好歹,不
不知进退,不
不知就里,不
不知利害,不
不知其详,不
不知肉味,不
不知深浅,不
不知死活,不
不知所措,不
不知所以,不
不知所终,不
不值一钱,不
不置可否,不
不自量力,不
不足介意,不
不足为据,不
不足为凭,不
不足为奇,不
不足为训,不
不足与谋,不
布帛菽粟,布
布衣之交,布
步步为营,步
步履蹒跚,步
步人后尘,步
步线行针,步
屏气凝神,屏
屏声息气,屏
不值一驳,不
不值一笑,不
跋扈飞扬,跋
巴巴结结,巴
拔刀相向,拔
拔锅卷席,拔
跋扈恣睢,跋
拔剑论功,拔
跋来报往,跋
拔类超群,拔
跋履山川,跋
拔毛济世,拔
八面受敌,八
拔群出萃,拔
拔山举鼎,拔
跋山涉川,跋
跋涉山川,跋
八万四千,八
拔赵易汉,拔
拔帜树帜,拔
败国亡家,败
败井颓垣,败
百年好合,百
百年之业,百
百世之利,百
白手成家,白
白首同归,白
败俗伤风,败
败于垂成,败
百纵千随,百
半壁河山,半
半壁山河,半
搬唇弄舌,搬
半懂不懂,半
半路修行,半
半上半下,半
板上砸钉,板
半生半熟,半
半死半生,半
半吐半露,半
半文半白,半
半文不白,半
半新半旧,半
半信不信,半
半疑半信,半
傍人篱落,傍
褒贬与夺,褒
抱残守阙,抱
包藏奸心,包
包打天下,包
饱经风雨,饱
饱经世变,饱
饱经世故,饱
饱练世故,饱
薄情无义,薄
爆跳如雷,爆
饱飨老拳,饱
抱薪救焚,抱
鲍鱼之次,鲍
背本就末,背
背恩弃义,背
背腹受敌,背
